value,   keys inserted, insertion time (s), keys lost during retrieval, retrieval time (s)
1, 
2, 
3, 
4, 
5, 
6, 
7, 
8, 
9, 
10, 
11, 
12, 
13, 
14, 
15, 
16, 
17, 
18, 
19, 
20, 
21, 
22, 
23, 
24, 
25, 
26, 
27, 
28, 
29, 
30, 
31, 
32, 
33, 
34, 
35, 
36, 
37, 
38, 
39, 
40, 
41, 
42, 
43, 
44, 
45, 
46, 
47, 
48, 
49, 
50, 
value,   keys inserted, insertion time (s), keys lost during retrieval, retrieval time (s)
1, 100000,0.006886,0, 7.819482,
2, 100000,0.022236,0, 3.481424,
3, 100000,0.023135,0, 2.507108,
4, 100000,0.021069,0, 2.086213,
5, 100000,0.023088,0, 2.028228,
6, 100000,0.020666,0, 2.979312,
7, 100000,0.026219,0, 2.131730,
8, 100000,0.027301,0, 2.244857,
9, 100000,0.024188,0, 2.420800,
10, 100000,0.023201,0, 2.454785,
11, 100000,0.025730,0, 1.887037,
12, 100000,0.023762,0, 2.041793,
13, 100000,0.025388,0, 1.981104,
14, 100000,0.027324,0, 2.179987,
15, 100000,0.030278,0, 2.207413,
16, 100000,0.027281,0, 2.273294,
17, 100000,0.024315,0, 2.282565,
18, 100000,0.027545,0, 2.246997,
19, 100000,0.023261,0, 2.038277,
20, 100000,0.026387,0, 2.107815,
21, 100000,0.021035,0, 2.089349,
22, 100000,0.032221,0, 2.235407,
23, 100000,0.023372,0, 2.195401,
24, 100000,0.023272,0, 2.063038,
25, 100000,0.023892,0, 2.266024,
26, 100000,0.026254,0, 2.112388,
27, 100000,0.027462,0, 2.034091,
28, 100000,0.026645,0, 2.014503,
29, 100000,0.024680,0, 2.021609,
30, 100000,0.023009,0, 2.162627,
31, 100000,0.026100,0, 2.181709,
32, 100000,0.023704,0, 2.105606,
33, 100000,0.027087,0, 2.105622,
34, 100000,0.026182,0, 2.085809,
35, 100000,0.020918,0, 2.394315,
36, 100000,0.027189,0, 2.170956,
37, 100000,0.032596,0, 2.007776,
38, 100000,0.029523,0, 1.892833,
39, 100000,0.028041,0, 1.902829,
40, 100000,0.029546,0, 1.960947,
41, 100000,0.027820,0, 1.911474,
42, 100000,0.032644,0, 1.964289,
43, 100000,0.025533,0, 2.029143,
44, 100000,0.028833,0, 1.913392,
45, 100000,0.030220,0, 1.852472,
46, 100000,0.026894,0, 1.887295,
47, 100000,0.027064,0, 1.891502,
48, 100000,0.033816,0, 1.868127,
49, 100000,0.030880,0, 1.845367,
50, 100000,0.029256,0, 1.893482,
