value,   keys inserted, insertion time (s), keys lost during retrieval, retrieval time (s)
1, 100000,0.005224,0,6.836694
2, 100000,0.007928,0,3.485213
3, 100000,0.027671,0,2.536396
4, 100000,0.027150,0,1.824372
5, 100000,0.025316,0,1.993798
6, 100000,0.030404,0,1.897659
7, 100000,0.028682,0,1.890423
8, 100000,0.038380,0,1.928563
9, 100000,0.050061,0,1.825316
10, 100000,0.033865,0,1.839272
11, 100000,0.046127,0,1.837832
12, 100000,0.034301,0,1.930602
13, 100000,0.029390,0,2.021023
14, 100000,0.059051,0,1.919321
15, 100000,0.025464,0,2.094463
16, 100000,0.046878,0,1.990034
17, 100000,0.025411,0,2.001735
18, 100000,0.029584,0,1.907402
19, 100000,0.065201,0,2.004429
20, 100000,0.021142,0,2.076663
21, 100000,0.023847,0,2.010427
22, 100000,0.049603,0,1.922532
23, 100000,0.023908,0,1.893398
24, 100000,0.026462,0,1.935058
25, 100000,0.024977,0,1.982778
26, 100000,0.035320,0,2.319542
27, 100000,0.027227,0,2.182954
28, 100000,0.045955,0,2.095460
29, 100000,0.024708,0,2.162212
30, 100000,0.065017,0,2.165577
31, 100000,0.062257,0,2.234328
32, 100000,0.056321,0,2.135345
33, 100000,0.067229,0,2.252912
34, 100000,0.038426,0,2.067757
35, 100000,0.043231,0,2.103729
36, 100000,0.047501,0,2.045532
37, 100000,0.024214,0,1.877577
38, 100000,0.028399,0,1.849057
39, 100000,0.042535,0,1.844972
40, 100000,0.030630,0,1.848709
41, 100000,0.027803,0,1.876366
42, 100000,0.051261,0,1.911208
43, 100000,0.042096,0,1.861606
44, 100000,0.053565,0,2.043531
45, 100000,0.059292,0,1.834973
46, 100000,0.029138,0,1.856754
47, 100000,0.029023,0,1.821297
48, 100000,0.033103,0,1.854407
49, 100000,0.029000,0,1.856061
50, 100000,0.034089,0,1.835048
